"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comp","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV167",72.3261151229654,5.6072981582708,2.18941973712796,2.56108870454705,0.0104344710411619,0.0414748302728536,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV208",65.6024341210854,7.53011212792623,2.9335275559142,2.56691371885871,0.0102608140295073,0.0414748302728536,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","ruminicola"
"ASV221",210.258632416076,5.44595948899613,2.11986555522817,2.56901173546826,0.0101989003533319,0.0414748302728536,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified","Unclassified"
"ASV313",37.1597301217209,5.94887481948363,2.30020379513306,2.58623815510204,0.00970298623511607,0.0414748302728536,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","Unclassified"
"ASV386",18.6054385494713,7.09202878974445,2.76605427979896,2.56395141683912,0.0103488029156276,0.0414748302728536,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","F082","Unclassified","Unclassified"
"ASV506",32.536668692118,6.3289832462829,2.4619910909191,2.57067674599918,0.0101500018733814,0.0414748302728536,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Butyrivibrio","hungatei"
"ASV397",32.5284915620388,6.06893498262651,2.3728555614473,2.55765040284409,0.0105381975863032,0.0415380621526786,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Unclassified","Unclassified"
"ASV290",48.8182144232799,5.20321817871871,2.03745505476867,2.55378304740541,0.0106559629625641,0.0416551279445687,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV73",174.024882684202,5.12950758468138,2.01445251894717,2.54635318352515,0.0108854990876727,0.0422036153153212,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV543",22.1590124667381,6.62681381870542,2.60659338047522,2.54232741797927,0.0110116966873718,0.0423457929522509,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","probable genus 10","Unclassified"
"ASV332",28.7640109181127,5.75979682936486,2.28892632209713,2.51637493691265,0.0118568972225747,0.045228325695789,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","Unclassified"
"ASV105",79.2672495622041,6.13842226658061,2.4501065620909,2.50536950578269,0.0122323527129595,0.0459472691113011,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV351",27.2560599117379,5.50173292872998,2.19861647765849,2.50236136435642,0.0123367931863324,0.0459472691113011,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV687",17.8724628959644,6.27452132543798,2.50530505021383,2.50449394372252,0.0122626704638097,0.0459472691113011,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV301",65.2285885675146,5.56429777220618,2.241467171279,2.48243554199865,0.0130487673466696,0.04821927308574,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV34",465.154567178398,4.06965844680586,1.66273220471784,2.44757299777956,0.0143821988296243,0.048764305344459,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV43",415.035169124147,4.13214936568732,1.69444913835723,2.43863877182731,0.0147426969646039,0.048764305344459,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV72",108.754565565923,5.03485247674494,2.03934080992019,2.46886270909372,0.0135543210202996,0.048764305344459,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV146",113.464904138336,6.22955224415173,2.55257838038375,2.44049400873449,0.0146671892409692,0.048764305344459,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV163",63.4222161772835,4.94994379779217,2.0057012243517,2.46793676829516,0.0135894322317659,0.048764305344459,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV166",74.7609971673809,5.55218614394789,2.24386245924242,2.47438791137958,0.013346469402886,0.048764305344459,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV312",30.9328322156027,5.57713758646052,2.27952477244597,2.44662293381272,0.0144201611433554,0.048764305344459,"GFE","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Veillonellaceae UCG-001","Unclassified"
"ASV343",46.8151918575553,5.762120902103,2.3365478290159,2.46608300953542,0.0136599673769224,0.048764305344459,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified","Unclassified"
"ASV385",23.006491200567,5.98537577777171,2.43781344573733,2.45522305582386,0.0140797194121216,0.048764305344459,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified","Unclassified"
"ASV392",22.1316958097361,6.78059380237356,2.76523240029255,2.45208822291255,0.0142029834690482,0.048764305344459,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","Unclassified"
"ASV394",31.3775409925443,6.48276638007006,2.64240941751287,2.45335425203407,0.0141530880671005,0.048764305344459,"GFE","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV445",23.3441886727349,6.88625626804874,2.80060968824415,2.45884183610252,0.0139386009797135,0.048764305344459,"GFE","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group","Unclassified"
"ASV1158",69.3100307999648,-6.92236846829599,2.8349893146264,-2.44176174935891,0.0146157887421167,0.048764305344459,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Unclassified"
